date,circuit,road_ids,winner_color
02/03/24,Bahrain,4818385;881756729;881756730;881756728,4373c5
09/03/24,Saudi Arabia,1257884699;1257884708;1257884709;1007989410;1257884707;1257884706;1257884700,4373c5
24/03/24,Australia,784076847;987030977;784076843;784076839;987030969;784076845;784087844;154137598;784087849;784077758;987030966;784083210;987030982;1050371045;1013633268;1013633269;1050342733;1021617920;1021617874;15856988;987030967;987030968;784071296;979723479;979723477;1253159342;979723478;1126808201;987030972;987030985;987030974;987030973,d82c15
07/04/24,Japan,183391665;183391643;183391645;183391644;183391657;183391636;183391635;183391628;183391634;183391629;183391633;183391631;183391632;183391630;183391642;411295349;183391641;183391656;183391664;183391655;183391662;183391658;183391646;183391659;183391651;411295347;183391649;183391647;411295351;183391648;411295348;175231434;183391652;183391660;411289989;183391637;183391639;183391638;183391640;183391661,4373c5
21/04/24,China,156328670,4373c5
05/05/24,Miami,1017340351;1193387091;1193404650,f18500
19/05/24,Emilia-Romagna,1021771403;1025616645;1025616644;1025616638;1025616639;1021771405;1021771398;1025616640;1021771397;1021771396;1021771395;1025616642;1021771394;1025616643;1025616641;7920430;1021771393;1025616657;1021771400;1025616656;1021771399;1021771402;1025616655;1025616653;1025616654;1021771401;1025616652;1025616651;1025616650;1021771404;1025616648;1025616649,4373c5
26/05/24,Monaco,166399479;1081401616;161880707;166399480;4227272;157719644;254596486;166624050;4229308;161775592;1082515450;161752645;4229658;4230009;4230006;434567309;166399501;568187257;4230007;1148675745;1148199871;41929969;4230891;1230247123;160004393;4229536;348019480;1081401613;485746484;503475642;1081401614;214636589;1081401615;39839529;1081401617;168681959;60767229;4226740;1019174508,d82c15
05/06/24,Canada,136717490,4373c5
23/06/24,Spain,831804327;893732520;831804325;990483278,4373c5
30/06/24,Austria,822592410;822592403;822592404;347958266;822592398;822592399;822592400;822592401;822592402;822592405;822592406;822592407;822592408;822592409,6df0d4
07/07/24,Great Britain,55224167;169854842;169800226;169800223;169800225;169848882;169800224;169800222;169618242;169618240;169618241;169618245;169609611;169730588;3571477;169730585;169730587;169733768;169730586;430075118;169733766;169733769;169733770;169848880;169848884;169848881;55224168,6df0d4
21/07/24,Hungary,231328650,f18500
28/07/24,Belgium,613486590;126807099;175178443;175178448;126807110;126835639;126835637;126835638;24449918;126807113;175195997;126807111;126807112;126807106;126807103;126807101;126807109;126807116;175371353;175371365;126807100;176133746;126807114;176133745;178964809;126807105;637268672,6df0d4
25/08/24,Netherlands,1311522211;1311522212;1313671989;1311522213;1313671990;1311522214;1311522215;1311522216;1311522217;1311522218;1311566938;1311566937;1313671991;1311566939;1313671992;1311566940;1311710253;24626850;1311765615;1311710254;1311765616;1311802779;1311822339;1311822340;1311822341;1311879069,f18500
01/09/24,Italy,19842206;179968242;179968264;179968220;179968262;179968245;179968263;179968229;179968251;179968230;179968252;179968228;179968254;179968226;179968249;179968239;179968257;179968234,d82c15
15/09/24,Azerbaijan,766787796;1168829203;1168829202;25402777;766787797;435150771;1068848088;1068848087;133882372;323377759;25359879;414510525;290633714;167173315;1167453170;133220838;1069034735;639403533;202546449;25406140;476752809;1279858618;926192527;476752810;1050381554;167173308;1050381555;500527621;822375070;249018354;131835265;323377758;179238852,f18500
22/09/24,Singapore,686335807;465064165;686323967;686335799;686323968;686335800;21805129;654223306;672222982;174262763;383365018;528537303;383365019;584419619;176298699;479540202;633871920;633871919;479745479;479745478;649944021;479540200;635373148;545362402;723073393;173791997;75067163;635375722;649336906;763525862;21701074;763525863;763525864;51511352;459186771;831044956;16688065;51511339;1303467716;156457347;650084964;634770511;750071183;479565615;173779754;845894319;647084783;649520780;480250096;155907160;21584500;747875236;747875237;475217889;759511978;448084962;684544691;1015882723;1015882722;1121759130;475215022;480247943;29377119;1208744551;1121759131;1206760202;1215229386;173779732;35037537;763010995;35037536;1313321640;635390734;21998987;750071184;479605910;479565613;764062390;479565612;634832601;633311062;764062389;303314681;767388315;763531722;633343709;633340452;479565608;842953325;633340456;635394837;180551367;581942152;173791995;152783801;479284866;303311924;686335806,f18500
20/10/24,United States,118258939;118258950;118258954;118258956;514758200;514820043;514820041;118258930;118258958;118258962;118258931;118258929;118258946;118258935;118258951;118258940;118258942;118258947;118258943;118258961;118258928;514836010;118258933;118258937;118258952;514836011;118256423;118258957;118258959,d82c15
27/10/24,Mexico,772755821;1313598528;772754605;772754608;1128592398;1128592396;772755824;823823141;823823140,d82c15
03/11/24,Brazil,138567241;131439569;189535473;807691487;138566995;138567001;138566996;807691486;138567000;138566997;138566994;138567002;190164735;138566998;138566993;190164734;138566999;138567236;189535472;190164736;138567242;190164737;138567239;138567234;190164733,4373c5
23/11/24,Las Vegas,1223479151;1224841829;1021115988;1016805775;601671165;1021115987;1021115986;601671148;1030285388;847458819;847458820;600520438;601666024;617055991;1030307119;617055993;1050197067;1030303970;1224841828;1223479149;1224841827;1120502195;1120502194;1120502196;601645725;601644239;1101647963;1101647964;1101647965;1101647962;1148009607;1071482657;1071482658;1071482659;1071482660;1071482661;1071482662;600023001;1071482663;1043551491;1059801988;674621867;423689767;423686460;1032776580;421265955;1043464439;742140361;1119837129;1043464441;1043464440;1016480470;1016480469;1030067968;423686234;1036842429;1033820973;1148009608;1223479148;1109971223;1035064589;1032610389;1032610390;281237563;435490973;435490975;435490974;1224841830;435490977;601666021,6df0d4
01/12/24,Qatar,152483595,4373c5
08/12/24,Abu Dhabi,168477013;188337196;1255169703;1255169704,f18500
